日期,一区,二区,三区,四区,五区
2025/5/1,86.95608281,66.4211789,92.56690415,78.49664092,83.90103047
2025/5/2,94.06297367,61.06164232,93.7347519,18.66740283,38.5186386
2025/5/3,87.937002,61.70953279,67.02655698,47.82495928,27.86032469
2025/5/4,62.141334,17.44389708,94.42260815,66.29055066,53.19323271
2025/5/5,9.227527643,38.04559885,46.99456446,2.536232157,49.01176504
2025/5/6,66.67075202,40.33617312,45.49789548,52.15984236,21.46619652
2025/5/7,85.55652334,14.1820764,13.51916108,21.12497585,33.74987238
2025/5/8,34.08965127,94.53215365,38.60600654,62.31283334,94.55619652
2025/5/9,20.0461171,52.83745736,95.41882715,15.83113818,41.82018681
2025/5/10,21.33337682,37.54367628,44.93610599,34.14264909,98.05783514
2025/5/11,22.8300641,55.09726652,21.46476448,14.38582795,59.35437907
